,mse,psnr
reconstruction,"{'cover': 14.033444173838308, 'lsb': 14.973974794327066}","{'cover': 36.758264591303984, 'lsb': 36.46886394308748}"
secret_before,{'lsb': 0.09369357855768592},{'lsb': 58.46416561120382}
secret_after,{'lsb': 63.11634751703105},{'lsb': 30.134963879117382}
