,mse,psnr
reconstruction,"{'cover': 0.46240591538798853, 'lsb': 0.7309566823510658}","{'cover': 51.613935478481494, 'lsb': 49.5857426871899}"
secret_before,{'lsb': 0.09369357855768591},{'lsb': 58.46416561120382}
secret_after,{'lsb': 65.83779461176903},{'lsb': 29.963791046992597}
