,mse,psnr
reconstruction,"{'cover': 22.22149548069634, 'lsb': 22.98681402523458}","{'cover': 34.73555631568304, 'lsb': 34.5875453575043}"
secret_before,{'lsb': 0.09369357855768591},{'lsb': 58.46416561120382}
secret_after,{'lsb': 62.70276763824204},{'lsb': 30.163332089040182}
