,mse,psnr
reconstruction,"{'cover': 1.0556910124261873, 'lsb': 1.2879083114933803}","{'cover': 48.037032199273, 'lsb': 47.15021626055727}"
secret_before,{'lsb': 0.09369357855768592},{'lsb': 58.46416561120382}
secret_after,{'lsb': 66.13003447847554},{'lsb': 29.941733622229055}
