,mse,psnr
reconstruction,"{'cover': 2.5403207820735973, 'lsb': 2.82017242981683}","{'cover': 44.23075904750157, 'lsb': 43.7681326255847}"
secret_before,{'lsb': 0.09369357855768591},{'lsb': 58.46416561120382}
secret_after,{'lsb': 65.05235038025691},{'lsb': 30.01097682485112}
