,mse,psnr
reconstruction,"{'cover': 0.28080256080230787, 'lsb': 0.44755576611612313}","{'cover': 53.76615231775226, 'lsb': 51.70684002524743}"
secret_before,{'lsb': 0.09369357855768591},{'lsb': 58.46416561120383}
secret_after,{'lsb': 62.9108775947184},{'lsb': 30.15974053725981}
