,mse,psnr
reconstruction,"{'cover': 6.270946773196911, 'lsb': 6.66133444745256}","{'cover': 40.29149819215798, 'lsb': 40.02304062375044}"
secret_before,{'lsb': 0.09369357855768592},{'lsb': 58.46416561120382}
secret_after,{'lsb': 64.03444003438558},{'lsb': 30.076710138841257}
