,mse,psnr
reconstruction,"{'cover': 1.0560034576857242, 'lsb': 1.2890339322820181}","{'cover': 48.035629433819416, 'lsb': 47.145732573498144}"
secret_before,{'lsb': 0.09369357855768592},{'lsb': 58.46416561120382}
secret_after,{'lsb': 66.37788300267584},{'lsb': 29.924515333031316}
