,mse,psnr
reconstruction,"{'cover': 22.222407589713495, 'lsb': 22.952876015378102}","{'cover': 34.73530190805421, 'lsb': 34.594721332060836}"
secret_before,{'lsb': 0.09369357855768592},{'lsb': 58.46416561120382}
secret_after,{'lsb': 62.71122640158607},{'lsb': 30.162751546607605}
