,mse,psnr
reconstruction,"{'cover': 0.2810463717344974, 'lsb': 0.44731480658241674}","{'cover': 53.76297110617417, 'lsb': 51.707954603927156}"
secret_before,{'lsb': 0.09369357855768592},{'lsb': 58.46416561120382}
secret_after,{'lsb': 62.874195323066544},{'lsb': 30.16168644985053}
