,mse,psnr
reconstruction,"{'cover': 14.038477436109225, 'lsb': 14.970742783223525}","{'cover': 36.756640027324124, 'lsb': 36.46923851253753}"
secret_before,{'lsb': 0.09369357855768592},{'lsb': 58.46416561120382}
secret_after,{'lsb': 62.89396511072101},{'lsb': 30.15051869446229}
