,mse,psnr
reconstruction,"{'cover': 6.272142289133184, 'lsb': 6.664469824397415}","{'cover': 40.29049701709845, 'lsb': 40.025949684275346}"
secret_before,{'lsb': 0.09369357855768592},{'lsb': 58.46416561120382}
secret_after,{'lsb': 63.851820935317825},{'lsb': 30.089415105358714}
