,mse,psnr
reconstruction,"{'cover': 0.46225294750345736, 'lsb': 0.7285734158610554}","{'cover': 51.61487873541278, 'lsb': 49.597935241725516}"
secret_before,{'lsb': 0.09369357855768592},{'lsb': 58.46416561120382}
secret_after,{'lsb': 65.50679189839879},{'lsb': 29.9857111895493}
