,mse,psnr
reconstruction,"{'cover': 2.539807408785454, 'lsb': 2.824792130094976}","{'cover': 44.23194442053168, 'lsb': 43.75794950639238}"
secret_before,{'lsb': 0.09369357855768591},{'lsb': 58.46416561120382}
secret_after,{'lsb': 65.18789529887202},{'lsb': 30.000522929753608}
