,mse,psnr
reconstruction,"{'cover': 0.08640826569181731, 'lsb': 0.09330936828962137, 'ddh': 0.09256574899028792, 'udh': 0.12071719786775932}","{'cover': 58.82722463772511, 'lsb': 58.49337732695301, 'ddh': 58.49853739345261, 'udh': 57.34697500538593}"
secret_before,"{'lsb': 0.09369359013174795, 'ddh': 0.48800088973937, 'udh': 0.6275720507106847}","{'lsb': 58.464165083048826, 'ddh': 51.72231670741485, 'udh': 50.25096387419438}"
secret_after,"{'lsb': 29.995626561001774, 'ddh': 38.134593514174, 'udh': 57.79370654983147}","{'lsb': 33.38022164426718, 'ddh': 32.32249550181182, 'udh': 30.516074431743945}"
