,mse,psnr
reconstruction,"{'cover': 0.2808469360848117, 'lsb': 0.44807911329981365, 'ddh': 0.32682017920882567, 'udh': 0.3837714498370231}","{'cover': 53.7653861271511, 'lsb': 51.70218102927942, 'ddh': 53.03913910331185, 'udh': 52.358038109416526}"
secret_before,"{'lsb': 0.09369357855768591, 'ddh': 0.4863582979993485, 'udh': 0.6341785380415259}","{'lsb': 58.46416561120382, 'ddh': 51.752730411066075, 'udh': 50.19092009876886}"
secret_after,"{'lsb': 63.12813447729063, 'ddh': 73.7711209726849, 'udh': 88.38118561926034}","{'lsb': 30.145226533924433, 'ddh': 29.45514061231547, 'udh': 28.670235323590738}"
