,mse,psnr
reconstruction,"{'cover': 0.08662359303970216, 'lsb': 0.09333225753189964, 'ddh': 0.09265635277205353, 'udh': 0.12066300097232761}","{'cover': 58.815853570014134, 'lsb': 58.49284766565204, 'ddh': 58.49553628076827, 'udh': 57.34845363882203}"
secret_before,"{'lsb': 0.09369359013174795, 'ddh': 0.4858723552514481, 'udh': 0.6257287646714175}","{'lsb': 58.464165083048826, 'ddh': 51.758777556443995, 'udh': 50.25680543618801}"
secret_after,"{'lsb': 30.041163144008046, 'ddh': 38.102496517068765, 'udh': 57.58489588488451}","{'lsb': 33.373615079179174, 'ddh': 32.32667781238705, 'udh': 30.531680822796528}"
