,mse,psnr
reconstruction,"{'cover': 8.304072259132637, 'lsb': 8.429669953581561, 'ddh': 8.302216582537243, 'udh': 32.06868807491192}","{'cover': 38.969901401341076, 'lsb': 38.90558518721694, 'ddh': 38.956652200818056, 'udh': 33.08848253006686}"
secret_before,"{'lsb': 0.09369359013174795, 'ddh': 0.4844453667426397, 'udh': 0.6342908341485725}","{'lsb': 58.464165083048826, 'ddh': 51.7653690323598, 'udh': 50.198957690919315}"
secret_after,"{'lsb': 8.229447963609319, 'ddh': 77.63137897816694, 'udh': 73.46787383165743}","{'lsb': 39.00801330989463, 'ddh': 29.23171169022293, 'udh': 29.472747818744644}"
