,mse,psnr
reconstruction,"{'cover': 0.4659356645361692, 'lsb': 0.48425122531878007, 'ddh': 0.5012811665124294, 'udh': 0.4614741843669376}","{'cover': 51.45505979338852, 'lsb': 51.28693474433095, 'ddh': 51.13070252928976, 'udh': 51.497686727690855}"
secret_before,"{'lsb': 0.09369359013174795, 'ddh': 0.4894401907043529, 'udh': 0.6302280345772676}","{'lsb': 58.464165083048826, 'ddh': 51.73186385292052, 'udh': 50.226954425706495}"
secret_after,"{'lsb': 37.85931526933869, 'ddh': 20.89368328477528, 'udh': 1.588665793016852}","{'lsb': 32.353511604657776, 'ddh': 34.93244100602871, 'udh': 46.231887774234956}"
