,mse,psnr
reconstruction,"{'cover': 0.28089136327154024, 'lsb': 0.4463836190335942, 'ddh': 0.32726279113976636, 'udh': 0.3836953083444837}","{'cover': 53.76549447873911, 'lsb': 51.71931185050606, 'ddh': 53.03282244511694, 'udh': 52.35915042770101}"
secret_before,"{'lsb': 0.09369357855768592, 'ddh': 0.48989106214456557, 'udh': 0.6296085766439745}","{'lsb': 58.46416561120382, 'ddh': 51.73092784969795, 'udh': 50.230358441575156}"
secret_after,"{'lsb': 62.72169452324322, 'ddh': 73.44640440631535, 'udh': 88.54242714046252}","{'lsb': 30.17348241427194, 'ddh': 29.474117245513447, 'udh': 28.662039626852835}"
